nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk,machine_type
ip-172-31-35-156,1755598804,1755598806.0573008,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,chdb,3.5.0,NA,.groupby,1,0.019,1.082,TRUE,NA,0.002,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.079111,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,chdb,3.5.0,NA,.groupby,2,0.017,1.086,TRUE,NA,0.001,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.1570022,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,chdb,3.5.0,NA,.groupby,1,0.071,1.479,TRUE,NA,0.002,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.254197,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,chdb,3.5.0,NA,.groupby,2,0.068,1.499,TRUE,NA,0.025,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.340257,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,chdb,3.5.0,NA,.groupby,1,0.077,2.345,TRUE,NA,0.002,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.4182973,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,chdb,3.5.0,NA,.groupby,2,0.07,2.742,TRUE,NA,0.003,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.4502163,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,chdb,3.5.0,NA,.groupby,1,0.022,2.739,TRUE,NA,0.002,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.4783525,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,chdb,3.5.0,NA,.groupby,2,0.022,2.726,TRUE,NA,0.002,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.544096,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,chdb,3.5.0,NA,.groupby,1,0.057,2.77,TRUE,NA,0.002,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.6002893,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,chdb,3.5.0,NA,.groupby,2,0.049,2.77,TRUE,NA,0.002,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.6555116,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,chdb,3.5.0,NA,.groupby,1,0.045,2.684,TRUE,NA,0.002,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.7109637,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,chdb,3.5.0,NA,.groupby,2,0.049,2.696,TRUE,NA,0.002,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.7895577,groupby,G1_1e7_1e2_0_0,10000000,max v1 - min v2 by id3,100000,2,chdb,3.5.0,NA,.groupby,1,0.069,3.212,TRUE,NA,0.002,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.8647478,groupby,G1_1e7_1e2_0_0,10000000,max v1 - min v2 by id3,100000,2,chdb,3.5.0,NA,.groupby,2,0.069,3.436,TRUE,NA,0.002,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598806.9558408,groupby,G1_1e7_1e2_0_0,10000000,largest two v3 by id6,200000,2,chdb,3.5.0,NA,.groupby,1,0.081,3.458,TRUE,NA,0.003,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598807.0356128,groupby,G1_1e7_1e2_0_0,10000000,largest two v3 by id6,200000,2,chdb,3.5.0,NA,.groupby,2,0.072,3.379,TRUE,NA,0.003,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598807.0978587,groupby,G1_1e7_1e2_0_0,10000000,regression v1 v2 by id2 id4,10000,3,chdb,3.5.0,NA,.groupby,1,0.052,3.3,TRUE,NA,0.002,,FALSE,c6id.metal
ip-172-31-35-156,1755598804,1755598807.1702454,groupby,G1_1e7_1e2_0_0,10000000,regression v1 v2 by id2 id4,10000,3,chdb,3.5.0,NA,.groupby,2,0.047,3.265,TRUE,NA,0.021,,FALSE,c6id.metal
